weather_code,max_temp,min_temp,mean_temp,snowfall_sum (cm),precipitation_hours (h),wind_speed_10m_max (mp/h),range_temp,LA,Boston,Chicago,Year,Phase_encoded
0,74.3,50.0,61.4,0.0,0,9.0,24.3,1,0,0,2019,2
0,76.2,49.1,61.4,0.0,0,7.7,27.1,1,0,0,2019,2
0,77.7,42.6,58.3,0.0,0,9.6,35.1,1,0,0,2019,2
0,81.8,49.1,62.8,0.0,0,7.4,32.7,1,0,0,2019,2
2,84.5,56.9,66.8,0.0,0,7.5,27.6,1,0,0,2019,2
3,81.9,58.1,67.6,0.0,0,8.6,23.800000000000004,1,0,0,2019,2
2,82.7,53.6,65.1,0.0,0,9.8,29.1,1,0,0,2019,2
0,81.9,52.6,65.0,0.0,0,9.3,29.300000000000004,1,0,0,2019,2
3,76.1,53.4,62.0,0.0,0,7.2,22.7,1,0,0,2019,2
3,76.7,55.0,62.1,0.0,0,8.1,21.700000000000003,1,0,0,2019,3
0,87.8,55.9,67.6,0.0,0,7.5,31.9,1,0,0,2019,3
0,89.9,53.0,69.2,0.0,0,12.0,36.900000000000006,1,0,0,2019,3
0,79.1,54.0,66.9,0.0,0,10.5,25.099999999999994,1,0,0,2019,4
3,74.7,55.4,62.0,0.0,0,7.8,19.300000000000004,1,0,0,2019,4
3,78.1,55.0,62.5,0.0,0,7.8,23.099999999999994,1,0,0,2019,4
3,73.8,51.9,60.5,0.0,0,10.0,21.9,1,0,0,2019,4
3,71.9,55.2,60.1,0.0,0,7.8,16.700000000000003,1,0,0,2019,5
3,72.3,53.3,60.2,0.0,0,8.6,19.0,1,0,0,2019,5
3,80.0,50.3,60.6,0.0,0,8.6,29.700000000000003,1,0,0,2019,5
0,90.5,52.0,69.0,0.0,0,7.5,38.5,1,0,0,2019,5
2,90.0,61.8,73.3,0.0,0,9.7,28.200000000000003,1,0,0,2019,6
3,82.8,60.3,69.4,0.0,0,11.1,22.5,1,0,0,2019,6
